*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=DAC Version B 1.0.5_Filled
*Date=14:41:41
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
185;;;21.8186;-28.287;0;Bottom;Copper Fill60
186;;DIP (Dual Inline) [THT];28.9681;-10.6354;0;Bottom;DAC1
187;;;24.1508;-22.7877;0;Bottom;Via7
188;;THT;11.5308;-85.8039;0;Bottom;J5
189;;;3.683;-28.9474;0;Bottom;Copper Fill132
190;;;20.4978;-45.4701;0;Bottom;Copper Fill87
191;;THT;12.6294;-9.03944;180;Bottom;CV Out
192;;;6.1214;-42.892;0;Bottom;Copper Fill124
193;;;18.0594;-24.604;0;Bottom;Copper Fill138
194;;;12.3698;-102.023;0;Bottom;Copper Fill103
195;;;20.4978;-45.4701;0;Bottom;Copper Fill165
196;;;30.1743;-3.1363;0;Bottom;Via18
197;;;11.2148;-74.0314;0;Bottom;Via24
198;;;33.5788;-13.2629;0;Bottom;Copper Fill168
199;;;15.3416;-68.2412;0;Bottom;Copper Fill45
200;;THT;16.6071;-98.4837;0;Bottom;J8
201;;;11.2522;-9.4656;0;Bottom;Copper Fill141
202;;;11.3284;-75.912;0;Bottom;Copper Fill35
203;0.33µF;100 mil [THT, multilayer];8.52311;-48.1272;0;Bottom;C1
204;;;18.669;-101.134;0;Bottom;Copper Fill13
205;;;21.2852;-28.4013;0;Bottom;Copper Fill162
206;;;22.987;-87.088;0;Bottom;Copper Fill109
207;;;12.0142;-79.8998;0;Bottom;Copper Fill31
208;;;32.4603;-35.6672;0;Bottom;Via30
209;100;THT;6.32573;-25.3319;180;Bottom;R27
210;;;8.255;-59.1861;0;Bottom;Copper Fill163
211;;;33.9217;-103.42;0;Bottom;Copper Fill153
212;100;THT;6.31472;-27.619;180;Bottom;R26
213;;;17.8054;-64.0248;0;Bottom;Copper Fill48
214;;;30.1117;-2.6838;0;Bottom;Copper Fill166
215;;DIP (Dual Inline) [THT];24.2807;-30.8493;180;Bottom;DAC2
216;;;4.7117;-40.7584;0;Bottom;Copper Fill93
217;;;3.5306;-4.8428;0;Bottom;Copper Fill144
218;;;26.8675;-73.6261;0;Bottom;Via29
219;;;16.5767;-91.6637;-90;Bottom;Teensy 3.2
220;;;20.6727;-84.6703;0;Bottom;Via13
221;;;29.2862;-34.5862;0;Bottom;Copper Fill127
222;;;29.9466;-105.528;0;Bottom;Copper Fill8
223;;;35.2044;-80.4713;0;Bottom;Copper Fill159
224;;;29.2608;-29.5824;0;Bottom;Copper Fill131
225;;;25.9384;-33.9245;0;Bottom;Via6
226;33k;THT;31.5133;-97.4085;29.8199;Bottom;R4
227;;;22.098;-15.8156;0;Bottom;Copper Fill66
228;;;17.8562;-109.872;0;Bottom;Copper Fill98
229;;;2.0828;-31.8684;0;Bottom;Copper Fill58
230;;;12.7762;-109.872;0;Bottom;Copper Fill96
231;;;10.541;-48.2133;0;Bottom;Copper Fill177
232;;;6.5278;-39.1709;0;Bottom;Copper Fill92
233;;;24.4094;-25.5946;0;Bottom;Copper Fill135
234;;;33.6804;-55.1602;0;Bottom;Copper Fill53
235;;;8.382;-29.303;0;Bottom;Copper Fill136
236;;;14.017;-35.7095;0;Bottom;Via27
237;;;29.591;-3.2045;0;Bottom;Copper Fill167
238;;;26.6954;-98.8482;0;Bottom;Copper Fill16
239;;;12.7508;-91.66;0;Bottom;Copper Fill20
240;;;10.8458;-81.5254;0;Bottom;Copper Fill29
241;;;10.2362;-109.897;0;Bottom;Copper Fill2
242;;;30.1752;-82.8208;0;Bottom;Copper Fill30
243;;;11.5062;-106.671;0;Bottom;Copper Fill102
244;;;22.5298;-96.2574;0;Bottom;Copper Fill19
245;;;35.2806;-66.4505;0;Bottom;Copper Fill81
246;;to-92;30.1207;-89.6492;180;Bottom;Q1
247;;;21.3582;-19.7233;0;Bottom;Via39
248;;;4.699;-88.1802;0;Bottom;Copper Fill24
249;;to-92;32.696;-101.961;180;Bottom;Q2
250;;;21.1639;-62.1236;0;Bottom;TXT2
251;;;3.7592;-51.4518;0;Bottom;Copper Fill54
252;;;32.5684;-108.636;0;Bottom;Hole1
253;;;12.3444;-107.332;0;Bottom;Copper Fill9
254;;;29.364;-10.677;0;Bottom;Via19
255;;;22.5298;-23.6642;0;Bottom;Copper Fill62
256;;;30.0482;-95.4954;0;Bottom;Copper Fill21
257;;;19.5438;-91.8577;0;Bottom;Via21
258;;;12.319;-3.8522;0;Bottom;Copper Fill146
259;;;21.0537;-45.3991;0;Bottom;Via34
260;;;30.1117;-2.6838;0;Bottom;Copper Fill85
261;;;11.2522;-6.9256;0;Bottom;Copper Fill71
262;;;29.2354;-37.1516;0;Bottom;Copper Fill126
